; Number of ROIs: 4
; File Dimension: 2000 x 2000
;
; ROI name: water
; ROI rgb value: {0, 255, 255}
; ROI npts: 5099
;
; ROI name: Desert
; ROI rgb value: {255, 255, 0}
; ROI npts: 4903
;
; ROI name: Vegetation
; ROI rgb value: {0, 128, 0}
; ROI npts: 4063
;
; ROI name: Urban
; ROI rgb value: {255, 0, 0}
; ROI npts: 6066
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1
;
 1517,  1103,  431685.0000,  3383175.0000,  30.57911580,  32.28752432,   0.032967
 1518,  1103,  431715.0000,  3383175.0000,  30.57911751,  32.28783718,   0.035909
 1519,  1103,  431745.0000,  3383175.0000,  30.57911922,  32.28815003,   0.026201
 1520,  1103,  431775.0000,  3383175.0000,  30.57912093,  32.28846289,   0.031083
 1521,  1103,  431805.0000,  3383175.0000,  30.57912264,  32.28877575,   0.036247
 1522,  1103,  431835.0000,  3383175.0000,  30.57912435,  32.28908861,   0.024287
 1523,  1103,  431865.0000,  3383175.0000,  30.57912606,  32.28940147,   0.035522
 1524,  1103,  431895.0000,  3383175.0000,  30.57912777,  32.28971432,   0.041890
 1525,  1103,  431925.0000,  3383175.0000,  30.57912948,  32.29002718,   0.033014
 1526,  1103,  431955.0000,  3383175.0000,  30.57913118,  32.29034004,   0.022460
 1516,  1104,  431655.0000,  3383145.0000,  30.57884339,  32.28721344,   0.021739
 1517,  1104,  431685.0000,  3383145.0000,  30.57884511,  32.28752630,   0.021930
 1518,  1104,  431715.0000,  3383145.0000,  30.57884682,  32.28783915,   0.023153
 1519,  1104,  431745.0000,  3383145.0000,  30.57884853,  32.28815201,   0.023204
 1520,  1104,  431775.0000,  3383145.0000,  30.57885024,  32.28846487,   0.014989
 1521,  1104,  431805.0000,  3383145.0000,  30.57885195,  32.28877773,   0.040948
 1522,  1104,  431835.0000,  3383145.0000,  30.57885366,  32.28909058,   0.027957
 1523,  1104,  431865.0000,  3383145.0000,  30.57885537,  32.28940344,   0.044968
 1524,  1104,  431895.0000,  3383145.0000,  30.57885708,  32.28971630,   0.032666
 1525,  1104,  431925.0000,  3383145.0000,  30.57885878,  32.29002915,   0.026455
 1526,  1104,  431955.0000,  3383145.0000,  30.57886049,  32.29034201,   0.040426
 1527,  1104,  431985.0000,  3383145.0000,  30.57886219,  32.29065487,   0.030501
 1528,  1104,  432015.0000,  3383145.0000,  30.57886390,  32.29096773,   0.033514
 1514,  1105,  431595.0000,  3383115.0000,  30.57856927,  32.28658971,   0.019956
 1515,  1105,  431625.0000,  3383115.0000,  30.57857099,  32.28690257,   0.017897
 1516,  1105,  431655.0000,  3383115.0000,  30.57857270,  32.28721542,   0.022222
 1517,  1105,  431685.0000,  3383115.0000,  30.57857441,  32.28752828,   0.024283
 1518,  1105,  431715.0000,  3383115.0000,  30.57857613,  32.28784113,   0.031903
 1519,  1105,  431745.0000,  3383115.0000,  30.57857784,  32.28815399,   0.025414
 1520,  1105,  431775.0000,  3383115.0000,  30.57857955,  32.28846685,   0.026490
 1521,  1105,  431805.0000,  3383115.0000,  30.57858126,  32.28877970,   0.032823
 1522,  1105,  431835.0000,  3383115.0000,  30.57858297,  32.28909256,   0.030501
 1523,  1105,  431865.0000,  3383115.0000,  30.57858467,  32.28940541,   0.023052
 1524,  1105,  431895.0000,  3383115.0000,  30.57858638,  32.28971827,   0.029252
 1525,  1105,  431925.0000,  3383115.0000,  30.57858809,  32.29003113,   0.030369
 1526,  1105,  431955.0000,  3383115.0000,  30.57858979,  32.29034398,   0.026258
 1527,  1105,  431985.0000,  3383115.0000,  30.57859150,  32.29065684,   0.031694
 1528,  1105,  432015.0000,  3383115.0000,  30.57859320,  32.29096970,   0.033586
 1529,  1105,  432045.0000,  3383115.0000,  30.57859491,  32.29128255,   0.025806
 1513,  1106,  431565.0000,  3383085.0000,  30.57829686,  32.28627884,   0.018702
 1514,  1106,  431595.0000,  3383085.0000,  30.57829858,  32.28659169,   0.012291
 1515,  1106,  431625.0000,  3383085.0000,  30.57830029,  32.28690455,   0.016685
 1516,  1106,  431655.0000,  3383085.0000,  30.57830201,  32.28721740,   0.018785
 1517,  1106,  431685.0000,  3383085.0000,  30.57830372,  32.28753026,   0.024390
 1518,  1106,  431715.0000,  3383085.0000,  30.57830543,  32.28784311,   0.019912
 1519,  1106,  431745.0000,  3383085.0000,  30.57830714,  32.28815597,   0.031320
 1520,  1106,  431775.0000,  3383085.0000,  30.57830885,  32.28846882,   0.028761
 1521,  1106,  431805.0000,  3383085.0000,  30.57831056,  32.28878168,   0.033408
